{'x': 317, 'y': 363, 'w': 158, 'h': 244, 'ID': 'person', 'dist': 191.77, 'time': '2023-08-08 18:18:22.132317'}
{'x': 318, 'y': 360, 'w': 164, 'h': 248, 'ID': 'person', 'dist': 178.84, 'time': '2023-08-08 18:18:23.169461'}
{'x': 319, 'y': 362, 'w': 157, 'h': 241, 'ID': 'person', 'dist': 194.04, 'time': '2023-08-08 18:18:24.186719'}
{'x': 320, 'y': 361, 'w': 160, 'h': 243, 'ID': 'person', 'dist': 187.33, 'time': '2023-08-08 18:18:25.237358'}
{'x': 317, 'y': 361, 'w': 168, 'h': 243, 'ID': 'person', 'dist': 170.87, 'time': '2023-08-08 18:18:26.263346'}
{'x': 316, 'y': 357, 'w': 163, 'h': 250, 'ID': 'person', 'dist': 180.91, 'time': '2023-08-08 18:18:27.290633'}
{'x': 307, 'y': 358, 'w': 173, 'h': 255, 'ID': 'person', 'dist': 161.63, 'time': '2023-08-08 18:18:28.296581'}
{'x': 322, 'y': 324, 'w': 226, 'h': 337, 'ID': 'person', 'dist': 113.54, 'time': '2023-08-08 18:18:29.335788'}
{'x': 314, 'y': 308, 'w': 235, 'h': 349, 'ID': 'person', 'dist': 114.41, 'time': '2023-08-08 18:18:38.506008'}
{'x': 313, 'y': 303, 'w': 287, 'h': 363, 'ID': 'person', 'dist': 170.84, 'time': '2023-08-08 18:18:39.552319'}
{'x': 316, 'y': 302, 'w': 287, 'h': 355, 'ID': 'person', 'dist': 170.84, 'time': '2023-08-08 18:18:40.569062'}
{'x': 320, 'y': 303, 'w': 287, 'h': 344, 'ID': 'person', 'dist': 170.84, 'time': '2023-08-08 18:18:41.612166'}
{'x': 316, 'y': 303, 'w': 290, 'h': 358, 'ID': 'person', 'dist': 176.77, 'time': '2023-08-08 18:18:42.645853'}
{'x': 308, 'y': 303, 'w': 303, 'h': 364, 'ID': 'person', 'dist': 205.83, 'time': '2023-08-08 18:18:43.664854'}
{'x': 311, 'y': 312, 'w': 234, 'h': 332, 'ID': 'person', 'dist': 114.19, 'time': '2023-08-08 18:18:46.721633'}
{'x': 322, 'y': 312, 'w': 228, 'h': 328, 'ID': 'person', 'dist': 113.51, 'time': '2023-08-08 18:18:47.735535'}
{'x': 375, 'y': 340, 'w': 505, 'h': 236, 'ID': 'person', 'dist': 1360.95, 'time': '2023-08-08 18:18:57.987757'}
{'x': 317, 'y': 320, 'w': 469, 'h': 338, 'ID': 'person', 'dist': 1058.28, 'time': '2023-08-08 18:18:59.028506'}
{'x': 276, 'y': 319, 'w': 471, 'h': 333, 'ID': 'person', 'dist': 1073.99, 'time': '2023-08-08 18:19:00.029906'}
{'x': 275, 'y': 314, 'w': 488, 'h': 333, 'ID': 'person', 'dist': 1212.79, 'time': '2023-08-08 18:19:01.032450'}
{'x': 275, 'y': 310, 'w': 490, 'h': 335, 'ID': 'person', 'dist': 1229.73, 'time': '2023-08-08 18:19:02.085230'}
{'x': 275, 'y': 312, 'w': 489, 'h': 332, 'ID': 'person', 'dist': 1221.24, 'time': '2023-08-08 18:19:03.096809'}
{'x': 275, 'y': 313, 'w': 501, 'h': 334, 'ID': 'person', 'dist': 1325.24, 'time': '2023-08-08 18:19:04.120332'}
{'x': 275, 'y': 312, 'w': 497, 'h': 333, 'ID': 'person', 'dist': 1290.06, 'time': '2023-08-08 18:19:05.119961'}
{'x': 276, 'y': 309, 'w': 498, 'h': 332, 'ID': 'person', 'dist': 1298.81, 'time': '2023-08-08 18:19:06.136767'}
{'x': 276, 'y': 310, 'w': 492, 'h': 333, 'ID': 'person', 'dist': 1246.81, 'time': '2023-08-08 18:19:07.165935'}
{'x': 276, 'y': 310, 'w': 487, 'h': 335, 'ID': 'person', 'dist': 1204.36, 'time': '2023-08-08 18:19:08.188038'}
{'x': 276, 'y': 312, 'w': 496, 'h': 324, 'ID': 'person', 'dist': 1281.34, 'time': '2023-08-08 18:19:09.444166'}
{'x': 278, 'y': 313, 'w': 481, 'h': 329, 'ID': 'person', 'dist': 1154.5, 'time': '2023-08-08 18:19:10.579628'}
{'x': 275, 'y': 310, 'w': 489, 'h': 326, 'ID': 'person', 'dist': 1221.24, 'time': '2023-08-08 18:19:11.722601'}
{'x': 276, 'y': 313, 'w': 488, 'h': 330, 'ID': 'person', 'dist': 1212.79, 'time': '2023-08-08 18:19:12.896698'}
{'x': 276, 'y': 313, 'w': 490, 'h': 326, 'ID': 'person', 'dist': 1229.73, 'time': '2023-08-08 18:19:13.922322'}
{'x': 276, 'y': 313, 'w': 484, 'h': 325, 'ID': 'person', 'dist': 1179.29, 'time': '2023-08-08 18:19:15.026745'}
{'x': 276, 'y': 313, 'w': 494, 'h': 326, 'ID': 'person', 'dist': 1264.01, 'time': '2023-08-08 18:19:16.002273'}
{'x': 276, 'y': 312, 'w': 484, 'h': 324, 'ID': 'person', 'dist': 1179.29, 'time': '2023-08-08 18:19:17.017438'}
{'x': 277, 'y': 313, 'w': 482, 'h': 318, 'ID': 'person', 'dist': 1162.73, 'time': '2023-08-08 18:19:18.033158'}
{'x': 277, 'y': 314, 'w': 489, 'h': 325, 'ID': 'person', 'dist': 1221.24, 'time': '2023-08-08 18:19:19.039971'}
{'x': 277, 'y': 313, 'w': 495, 'h': 327, 'ID': 'person', 'dist': 1272.66, 'time': '2023-08-08 18:19:20.035771'}
{'x': 277, 'y': 304, 'w': 499, 'h': 339, 'ID': 'person', 'dist': 1307.59, 'time': '2023-08-08 18:19:27.173942'}
{'x': 276, 'y': 305, 'w': 510, 'h': 348, 'ID': 'person', 'dist': 1406.31, 'time': '2023-08-08 18:19:28.299559'}
